iter	RMSE
525	9929.554648
526	9928.510063
527	9926.987863
528	9907.166748
529	9899.883664
530	9892.978519
531	9882.972671
532	9861.050562
533	9859.879974
534	9839.701446
535	9827.313673
536	9808.015651
537	9787.669387
538	9772.798562
539	9765.387102
540	9748.989003
541	9744.22755
542	9731.825723
543	9720.173881
544	9707.067395
545	9700.75535
546	9681.648985
547	9656.314548
548	9634.804903
549	9620.932242
550	9610.505141
551	9599.686081
552	9586.411454
553	9566.360949
554	9552.963029
555	9537.128948
556	9520.168969
557	9519.221066
558	9518.2774
559	9512.778879
560	9503.233459
561	9484.058738
562	9468.255597
563	9465.596063
564	9454.851735
565	9442.472115
566	9429.44041
567	9418.815716
568	9417.125146
569	9399.418476
570	9394.711466
571	9384.49687
572	9368.821368
573	9351.89645
574	9341.938008
575	9323.543044
576	9322.089075
577	9309.503411
578	9296.789985
579	9281.526929
580	9266.978191
581	9254.386512
582	9242.90118
583	9231.159332
584	9224.840044
585	9209.584354
586	9190.297488
587	9183.746561
588	9165.869245
589	9153.836387
590	9145.49168
591	9133.884015
592	9125.093904
593	9116.886884
594	9115.945749
595	9110.078429
596	9096.141588
597	9083.713233
598	9062.025528
599	9050.605438
600	9034.604729
601	9020.232018
602	9019.229856
603	9018.221116
604	9013.185069
605	8994.430011
606	8977.106949
607	8963.343301
608	8943.513426
609	8931.107618
610	8930.281537
611	8916.972154
612	8900.274917
613	8892.734516
614	8874.007855
615	8859.91218
616	8846.350856
617	8836.423368
618	8835.477936
619	8826.082942
620	8808.864877
621	8802.791463
622	8801.988472
623	8788.739545
624	8775.762662
625	8763.215725
626	8762.337373
627	8752.541486
628	8742.551301
629	8733.471573
630	8719.97814
631	8710.172364
632	8699.774159
633	8688.515642
634	8687.797085
635	8679.599741
636	8662.424826
637	8653.02949
638	8643.79564
639	8635.996687
640	8629.650251
641	8616.91317
642	8607.449557
643	8593.128413
644	8573.786164
645	8567.789966
646	8563.096015
647	8552.722171
648	8544.294266
649	8536.923901
650	8533.680115
651	8521.263475
652	8509.829227
653	8495.859759
654	8478.118359
655	8464.370564
656	8455.978855
657	8438.775099
658	8424.792512
659	8421.48514
660	8408.981112
661	8400.514933
662	8399.079628
663	8389.928079
664	8384.114917
665	8370.315382
666	8369.558636
667	8366.737418
668	8362.74522
669	8350.244637
670	8338.008232
671	8330.560233
672	8315.952395
673	8304.042166
674	8288.242384
675	8278.296432
676	8267.031433
677	8259.402726
678	8243.559312
679	8237.601395
680	8229.487298
681	8220.000493
682	8213.125237
683	8197.662787
684	8184.1303
685	8183.011717
686	8176.65473
687	8163.84599
688	8148.991627
689	8136.103891
690	8128.222315
691	8122.279023
692	8113.869562
693	8105.713019
694	8091.535417
695	8081.50651
696	8073.977778
697	8066.643922
698	8053.145128
699	8041.625562
700	8034.150683
701	8022.180016
702	8019.623144
703	8011.693237
704	8003.533165
705	7993.61673
706	7982.591956
707	7970.848746
708	7964.271814
709	7949.171439
710	7933.163443
711	7921.845661
712	7920.960989
713	7907.111639
714	7897.638053
715	7878.322161
716	7871.814749
717	7864.056901
718	7857.442275
719	7853.086849
720	7850.30418
721	7839.148146
722	7828.340953
723	7827.352317
724	7821.368902
725	7811.679359
726	7798.484999
727	7789.025363
728	7782.135093
729	7771.471235
730	7758.465596
731	7757.244091
732	7744.281975
733	7732.993791
734	7727.709931
735	7719.558068
736	7710.521389
737	7707.093593
738	7704.436487
739	7701.699606
740	7687.733743
741	7680.190573
742	7671.388816
743	7670.892858
744	7657.94794
745	7646.276988
746	7641.884899
747	7629.507276
748	7622.505587
749	7615.825103
750	7597.070495
751	7587.466796
752	7579.50266
753	7564.903262
754	7558.363075
755	7552.012218
756	7551.287635
757	7543.464342
758	7534.807232
759	7533.711711
760	7521.891419
761	7521.279358
762	7513.451917
763	7500.153596
764	7490.431214
765	7474.909409
766	7465.442931
767	7460.187095
768	7451.119623
769	7447.222982
770	7434.710309
771	7425.020669
772	7417.56225
773	7404.819271
774	7402.345018
775	7395.572615
776	7387.458456
777	7375.210277
778	7371.492828
779	7357.18658
780	7344.000601
781	7333.05328
782	7325.442334
783	7319.932222
784	7313.37056
785	7312.942239
786	7306.901321
787	7299.474818
788	7294.147075
789	7290.369385
790	7278.463681
791	7272.428327
792	7266.623068
793	7265.599153
794	7257.864074
795	7246.199905
796	7241.454527
797	7230.129665
798	7222.120311
799	7213.77759
800	7212.875387
801	7202.327055
802	7193.948012
803	7183.521392
804	7182.990507
805	7177.513843
806	7167.871135
807	7156.155856
808	7147.299107
809	7132.077685
810	7125.907048
811	7116.459387
812	7106.030137
813	7097.026919
814	7092.795357
815	7091.860514
816	7080.787296
817	7070.44689
818	7065.024891
819	7057.689536
820	7051.505996
821	7044.360839
822	7037.358989
823	7032.673034
824	7024.31574
825	7023.659357
826	7016.1709
827	7008.401254
828	7003.003208
829	6984.461364
830	6978.762874
831	6972.077297
832	6967.678449
833	6957.99147
834	6951.690773
835	6941.1013
836	6931.636525
837	6920.265731
838	6912.511144
839	6903.236107
840	6900.559742
841	6890.347255
842	6879.250918
843	6869.377567
844	6863.511679
845	6861.420194
846	6853.824768
847	6844.821994
848	6843.766184
849	6839.090132
850	6829.504679
851	6825.530511
852	6820.554485
853	6814.1339
854	6808.199914
855	6807.600897
856	6799.921712
857	6799.026456
858	6791.882622
859	6784.321347
860	6774.585361
861	6763.736579
862	6752.250046
863	6743.708648
864	6730.888111
865	6724.651204
866	6717.881217
867	6707.268954
868	6705.109363
869	6697.104716
870	6691.687422
871	6682.843305
872	6681.230901
873	6676.232568
874	6673.238741
875	6667.681124
876	6662.70135
877	6654.573592
878	6648.800272
879	6644.758893
880	6639.401195
881	6634.012147
882	6625.909786
883	6613.163099
884	6605.270948
885	6601.533636
886	6592.414591
887	6579.562426
888	6575.859565
889	6570.956469
890	6569.872968
891	6568.551258
892	6557.603226
893	6555.107706
894	6549.56487
895	6538.065953
896	6537.107255
897	6528.974012
898	6524.216631
899	6522.518201
900	6519.890273
901	6509.183973
